season.id,player.id,game.id,game.date,matchup,wl,min,fgm,fga,fg.pct,fg3m,fg3a,fg3.pct,ftm,fta,ft.pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus.minus,video.available,win,location.home,id.team.player,id.team.opponent,id.season,season
22012,201939,0021201175,2013-04-11T00:00:00Z,GSW vs. OKC,L,35,9,18,0.5,3,6,0.5,1,1,1,0,3,3,7,2,0,4,0,22,-9,0,FALSE,TRUE,GSW,OKC,2012-13,2013
22012,201939,0021201189,2013-04-12T00:00:00Z,GSW @ LAL,L,44,17,31,0.548,9,15,0.6,4,4,1,3,3,6,9,3,0,1,3,47,3,1,FALSE,FALSE,GSW,LAL,2012-13,2013
22012,201939,0021201212,2013-04-15T00:00:00Z,GSW vs. SAS,W,39,13,23,0.565,7,13,0.538,2,2,1,1,7,8,5,2,0,3,0,35,13,1,TRUE,TRUE,GSW,SAS,2012-13,2013
22012,201939,0021201230,2013-04-17T00:00:00Z,GSW @ POR,W,32,5,16,0.313,4,11,0.364,1,1,1,1,1,2,5,3,0,1,2,15,9,1,TRUE,FALSE,GSW,POR,2012-13,2013
22013,201939,0021300017,2013-10-30T00:00:00Z,GSW vs. LAL,W,24,4,10,0.4,2,5,0.4,0,0,0,0,4,4,6,1,0,1,4,10,28,1,TRUE,TRUE,GSW,LAL,2013-14,2014
22013,201939,0021300019,2013-10-31T00:00:00Z,GSW @ LAC,L,38,14,23,0.609,9,14,0.643,1,1,1,0,3,3,9,0,0,11,3,38,-8,1,FALSE,FALSE,GSW,LAC,2013-14,2014
22013,201939,0021300040,2013-11-02T00:00:00Z,GSW vs. SAC,W,33,8,13,0.615,5,8,0.625,1,1,1,0,1,1,12,1,0,7,4,22,18,1,TRUE,TRUE,GSW,SAC,2013-14,2014
22013,201939,0021300048,2013-11-04T00:00:00Z,GSW @ PHI,W,29,7,16,0.438,2,9,0.222,2,2,1,3,7,10,12,5,1,2,0,18,34,1,TRUE,FALSE,GSW,PHI,2013-14,2014
22013,201939,0021300067,2013-11-06T00:00:00Z,GSW @ MIN,W,24,2,8,0.25,0,3,0,1,2,0.5,0,1,1,7,1,0,1,1,5,3,1,TRUE,FALSE,GSW,MIN,2013-14,2014
22013,201939,0021300091,2013-11-09T00:00:00Z,GSW @ MEM,L,34,7,18,0.389,4,10,0.4,4,4,1,1,1,2,5,3,0,3,1,22,-9,1,FALSE,FALSE,GSW,MEM,2013-14,2014
22013,201939,0021300109,2013-11-12T00:00:00Z,GSW vs. DET,W,29,7,10,0.7,2,4,0.5,9,9,1,1,1,2,8,1,0,2,4,25,20,1,TRUE,TRUE,GSW,DET,2013-14,2014
22013,201939,0021300124,2013-11-14T00:00:00Z,GSW vs. OKC,W,43,8,22,0.364,4,8,0.5,2,3,0.667,0,5,5,9,1,0,2,4,22,-4,1,TRUE,TRUE,GSW,OKC,2013-14,2014
22013,201939,0021300145,2013-11-16T00:00:00Z,GSW vs. UTA,W,39,7,20,0.35,0,5,0,1,2,0.5,0,3,3,11,1,0,0,1,15,18,1,TRUE,TRUE,GSW,UTA,2013-14,2014
22013,201939,0021300154,2013-11-18T00:00:00Z,GSW @ UTA,W,33,7,15,0.467,4,7,0.571,4,4,1,2,4,6,8,3,0,5,4,22,22,1,TRUE,FALSE,GSW,UTA,2013-14,2014
22013,201939,0021300196,2013-11-23T00:00:00Z,GSW vs. POR,L,37,8,21,0.381,2,9,0.222,4,5,0.8,0,3,3,11,1,0,5,1,22,-6,1,FALSE,TRUE,GSW,POR,2013-14,2014
22013,201939,0021300214,2013-11-26T00:00:00Z,GSW @ NOP,W,42,7,20,0.35,2,5,0.4,0,0,0,1,7,8,9,3,1,2,2,16,-2,1,TRUE,FALSE,GSW,NOP,2013-14,2014
