Year,Date,Bikini,Color,Swimsuit_Photo_Pages,Issue_Pages,Note,Model,shoot_location,si_location,Photographer,Magazine_URL,Photos_URL,Cover_URL
1983,"Monday, February 14, 83",FALSE,White,20,140,,Cheryl Tiegs,Jamaica,Jamaica,"Walter Iooss, Jr.",http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19830214&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1983/0214_large.jpg
1984,"Monday, February 13, 84",FALSE,Pink,22,160,,Paulina Porizkova,"Aruba, Netherlands Antilles",Aruba (Netherland Antilles) ,Paolo Curto,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19840213&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1984/0213_large.jpg
1985,"Monday, February 11, 85",TRUE,Green,30,234,,Paulina Porizkova,"Shark Bay, Australia","Shark Bay, Australia",Brian Lanker,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19850211&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1985/0211_large.jpg
1986,"Monday, February 10, 86",FALSE,Blue,34,258,,Elle Macpherson,"Bora Bora, French Polynesia",Bora Bora (French Polynesia),Brian Lanker,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19860210&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1986/0210_large.jpg
1987,"Monday, February 9, 87",FALSE,Green,34,254,,Elle Macpherson,Dominican Republic,Dominican Republic,John G. Zimmerman,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19870209&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1987/0209_large.jpg
1988,"Monday, February 15, 88",FALSE,Black,34,206,,Elle Macpherson,Thailand,Thailand,Marc Hispard,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19880215&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1988/0215_large.jpg
1989,"Tuesday, February 7, 89",TRUE,Yellow,92,288,"Updates on former cover models,  multiple covers",Kathy Ireland,"Baja, California, Mexico","Baja, California, Mexico",Paolo Curto,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19890207&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1989/0207_large.jpg
1990,"Monday, February 12, 90",FALSE,Yellow,36,252,,Judit Masco,Grenadine Islands,The Grenadines ,Robert Huntzinger,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19900212&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1990/0212_large.jpg
1991,"Monday, February 11, 91",FALSE,White,40,242,,Ashley Montana,Turks and Caicos Islands,Turks and Caicos ,"Walter Iooss, Jr.",http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19910211&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1991/0211_large.jpg
1992,"Monday, March 9, 92",TRUE,Pink,40,228,,Kathy Ireland,Spain,Spain,Robert Huntzinger,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19920309&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1992/0309_large.jpg
1993,"Monday, February 22, 93",FALSE,Silver,48,198,,Vendela,"Islamorada, Florida Keys ","Islamorada, Florida Keys ",Paolo Curto,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19930222&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1993/0222_large.jpg
1994,"Monday, February 14, 94",TRUE,Black,48,192,,"Rachel Hunter, Kathy Ireland & Elle Macpherson","Beverly Hills, CA","Beverly Hills, Calif.","Walter Iooss, Jr.",http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19940214&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1994/0214_large.jpg
1995,"Monday, February 20, 95",TRUE,Blue,44,220,,Daniela Pestova,Bermuda ,Bermuda ,Mike Reinhardt,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19950220&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1995/0220_large.jpg
1996,"Monday, January 29, 96",TRUE,Leopard,36,210,,Tyra Banks & Valeria Mazza,South Africa,South Africa,"Walter Iooss, Jr.",http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19960129&mode=reader_vault,http://sportsillustrated.cnn.com/vault/swimsuit/year/1996/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/1996/0129_large.jpg
1997,"Friday, February 21, 97",TRUE,"Red,Pink",130,262,,Tyra Banks,"Harbor Island, Bahamas ","Harbor Island, Bahamas ",Russell James,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19970221&mode=reader_vault,http://sportsillustrated.cnn.com/vault/swimsuit/year/1997/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/1997/0221_large.jpg
